"contact_group_id","group_id","contact_id"
"2678","21","1242"
"2605","15","1263"
"3704","5","1253"
"1177","9","704"
"1178","9","705"
"1179","9","910"
"1180","9","911"
"1181","9","912"
"1182","9","913"
"3368","5","1010"
"1184","9","915"
"1185","9","922"
"1186","9","933"
"2992","12","1323"
"1188","9","955"
"3580","2","1442"
"1192","9","960"
"2949","5","905"
"3623","12","1450"
"1195","9","974"
"2930","5","1315"
"1197","9","985"
"2063","6","1132"
"1376","3","699"
"2742","21","1277"
"2374","19","1160"
"2948","3","905"
"3273","20","1386"
"2677","21","78"
"2676","21","1161"
"2675","21","1260"
"3567","15","1446"
"3624","2","1450"
"2672","21","1241"
"3410","5","1412"
"2811","15","1288"
"3412","20","116"
"2669","21","908"
"2031","7","1114"
"2604","3","1263"
"3606","25","1220"
"3270","15","1385"
"3151","12","1356"
"2664","21","59"
"2861","15","1303"
"3225","20","1314"
"2661","21","1022"
"2843","15","1298"
"3578","3","1442"
"3227","3","1375"
"3184","15","1362"
"2711","12","1109"
"3439","19","1417"
"2446","12","1229"
"2870","7","1306"
"3656","23","95"
"3205","15","1367"
"1263","12","99"
"3466","15","1423"
"3132","7","1354"
"3714","6","1010"
"1275","12","52"
"3229","12","1364"
"2398","15","1224"
"2397","2","1224"
"3233","6","1241"
"2595","5","1241"
"3178","8","214"
"3195","23","218"
"1287","12","51"
"3699","3","1466"
"2438","19","95"
"3182","12","1362"
"3307","15","1392"
"2142","19","78"
"2492","9","10"
"3437","7","1417"
"2209","19","707"
"2756","15","1279"
"1301","12","47"
"3252","7","1380"
"3471","5","1132"
"2740","3","1277"
"3424","12","1414"
"1311","12","113"
"3676","5","1460"
"3028","15","1334"
"3442","5","1419"
"3696","6","1465"
"3571","15","1448"
"3564","19","1444"
"1344","6","183"
"1345","8","183"
"2749","8","1279"
"2815","7","1248"
"2659","21","1234"
"3401","3","1186"
"2748","7","1279"
"3605","25","1435"
"3566","15","1445"
"3063","6","1203"
"3575","3","1442"
"2921","5","1277"
"3638","26","1339"
"3621","12","1450"
"2737","21","1276"
"2687","21","897"
"3718","22","1430"
"2999","15","1324"
"2658","21","1163"
"1366","8","112"
"1367","8","996"
"3489","15","1428"
"2998","7","1323"
"3073","3","1339"
"2072","6","169"
"1399","3","960"
"1400","5","960"
"3719","22","214"
"1402","7","960"
"1403","6","960"
"1404","8","960"
"3703","3","1253"
"3702","15","1467"
"2657","21","119"
"2790","8","10"
"2850","22","1147"
"2500","20","21"
"2867","3","1229"
"2764","22","113"
"2472","5","913"
"3240","6","1338"
"1417","7","1003"
"1418","8","1003"
"3488","6","1427"
"3453","5","1411"
"3242","19","1340"
"3664","23","1247"
"1424","6","1004"
"1425","5","1005"
"1426","5","1006"
"1921","9","709"
"2766","22","21"
"2732","7","1276"
"3524","2","1334"
"2554","15","1248"
"3445","15","1421"
"2814","7","116"
"3626","12","1322"
"1442","5","1004"
"2385","6","1222"
"2654","21","159"
"3278","7","21"
"3426","2","1414"
"3727","8","1451"
"3726","6","1451"
"3085","6","1257"
"3565","19","1445"
"3213","15","1370"
"2685","21","1162"
"3655","26","89"
"2646","15","1228"
"2571","3","1257"
"3131","6","1354"
"3280","23","1228"
"2563","15","1253"
"2644","15","1181"
"2643","15","1161"
"3670","6","1458"
"1924","6","709"
"2641","15","1226"
"2981","15","1320"
"3419","3","1343"
"3226","20","1242"
"1486","6","1025"
"2997","6","1323"
"2996","5","1323"
"2371","15","1220"
"2370","8","1220"
"2369","7","1220"
"3201","12","1365"
"3452","9","1411"
"3463","15","1422"
"3264","3","1384"
"3331","8","1353"
"3124","6","1353"
"3123","5","1353"
"2444","9","1228"
"3336","3","1397"
"3427","3","1415"
"1547","15","6"
"2789","6","10"
"3181","22","1361"
"3376","5","1404"
"3215","15","1371"
"3122","15","1353"
"3516","7","1212"
"1554","15","21"
"3436","15","1417"
"2747","2","1277"
